	Zn	bo
OG0003247	Znev_10138	Bo_m.81942, Bo_m.81943
OG0003248	Znev_16856	Bo_m.211655, Bo_m.211657
OG0003249	Znev_12651	Bo_m.114816, Bo_m.114819
OG0003250	Znev_12652	Bo_m.108779, Bo_m.108784
OG0003251	Znev_15532	Bo_m.299152, Bo_m.299157
OG0003252	Znev_08814	Bo_m.190125, Bo_m.190131
OG0003253	Znev_08824	Bo_m.324113, Bo_m.324115
OG0003254	Znev_08829	Bo_m.164383, Bo_m.164384
OG0003255	Znev_08830	Bo_m.363713, Bo_m.363717
OG0003256	Znev_17134	Bo_m.190124, Bo_m.190130
OG0003257	Znev_17136, Znev_17137	Bo_m.141631
OG0003258	Znev_14336	Bo_m.279209, Bo_m.279214
OG0003259	Znev_11969	Bo_m.45353, Bo_m.45362
OG0003260	Znev_11970	Bo_m.45358, Bo_m.45367
OG0003261	Znev_11976	Bo_m.251808, Bo_m.251810
OG0003262	Znev_11977	Bo_m.61748, Bo_m.61754
OG0003263	Znev_11978	Bo_m.190725, Bo_m.190743
OG0003264	Znev_15569	Bo_m.232757, Bo_m.232760
OG0003265	Znev_15570	Bo_m.239193, Bo_m.83089
OG0003266	Znev_16116	Bo_m.239415, Bo_m.239422
OG0003267	Znev_17171	Bo_m.84210, Bo_m.84214
OG0003268	Znev_17172	Bo_m.382162, Bo_m.84209
OG0003269	Znev_10205	Bo_m.122255, Bo_m.122257
OG0003270	Znev_10207	Bo_m.270254, Bo_m.270258
OG0003271	Znev_10634	Bo_m.259047, Bo_m.259056
OG0003272	Znev_18586	Bo_m.113697, Bo_m.113707
OG0003273	Znev_13700	Bo_m.36001, Bo_m.36154
OG0003274	Znev_11172	Bo_m.176089, Bo_m.176104
OG0003275	Znev_15745	Bo_m.28186, Bo_m.28196
OG0003276	Znev_11122	Bo_m.47289, Bo_m.47292
OG0003277	Znev_11124	Bo_m.345807, Bo_m.345813
OG0003278	Znev_11126	Bo_m.328763, Bo_m.328765
OG0003279	Znev_11131	Bo_m.259526, Bo_m.259528
OG0003280	Znev_17880	Bo_m.267386, Bo_m.267387
OG0003281	Znev_11720	Bo_m.180613, Bo_m.180618
OG0003282	Znev_11728	Bo_m.334528, Bo_m.334530
OG0003283	Znev_13909	Bo_m.81200, Bo_m.81208
OG0003284	Znev_13911	Bo_m.89922, Bo_m.89937
OG0003285	Znev_15884	Bo_m.102670, Bo_m.102673
OG0003286	Znev_13818	Bo_m.121673, Bo_m.201321
OG0003287	Znev_10162	Bo_m.105964, Bo_m.105969
OG0003288	Znev_10163	Bo_m.72910, Bo_m.72916
OG0003289	Znev_10169	Bo_m.210546, Bo_m.210565
OG0003290	Znev_15870	Bo_m.243147, Bo_m.243149
OG0003291	Znev_16273	Bo_m.299321, Bo_m.299326
OG0003292	Znev_15962	Bo_m.44983, Bo_m.45011
OG0003293	Znev_17894	Bo_m.119785, Bo_m.119806
OG0003294	Znev_16036	Bo_m.37096, Bo_m.37099
OG0003295	Znev_18543	Bo_m.69679, Bo_m.69687
OG0003296	Znev_13852	Bo_m.342673, Bo_m.342679
OG0003297	Znev_10657	Bo_m.235265, Bo_m.235268
OG0003298	Znev_10659	Bo_m.148166, Bo_m.148179
OG0003299	Znev_15850	Bo_m.101200, Bo_m.101208
OG0003300	Znev_18516	Bo_m.274913, Bo_m.274926
OG0003301	Znev_18359	Bo_m.110791, Bo_m.110797
OG0003302	Znev_16242, Znev_16314	Bo_m.365001
OG0003303	Znev_14122	Bo_m.373361, Bo_m.373362
OG0003304	Znev_14125	Bo_m.134474, Bo_m.134477
OG0003305	Znev_16285	Bo_m.186194, Bo_m.186195
OG0003306	Znev_15371	Bo_m.147154, Bo_m.147161
OG0003307	Znev_15611	Bo_m.192571, Bo_m.192579
OG0003308	Znev_15923	Bo_m.17385, Bo_m.315170
OG0003309	Znev_18497	Bo_m.159470, Bo_m.159473
OG0003310	Znev_15376	Bo_m.171062, Bo_m.171068
OG0003311	Znev_15449	Bo_m.129147, Bo_m.129148
OG0003312	Znev_18774	Bo_m.187052, Bo_m.233101
OG0003313	Znev_16189	Bo_m.242952, Bo_m.242966
OG0003314	Znev_14234	Bo_m.276961, Bo_m.277003
OG0003315	Znev_14236	Bo_m.144784, Bo_m.144785
OG0003316	Znev_15929	Bo_m.207957, Bo_m.32169
OG0003317	Znev_16342	Bo_m.113142, Bo_m.144227
OG0003318	Znev_16164	Bo_m.236420, Bo_m.236425
OG0003319	Znev_16357	Bo_m.353845, Bo_m.353846
OG0003320	Znev_16231	Bo_m.233174, Bo_m.280906
OG0003321	Znev_16218	Bo_m.236020, Bo_m.236028
OG0003322	Znev_16098	Bo_m.273555, Bo_m.273558
OG0003323	Znev_16090	Bo_m.186119, Bo_m.186121
OG0003324	Znev_14776	Bo_m.239080, Bo_m.239090
OG0003325		Bo_m.32299, Bo_m.32306, Bo_m.32314
OG0003326		Bo_m.79958, Bo_m.79966, Bo_m.79977
OG0003327		Bo_m.84618, Bo_m.84621, Bo_m.84624
OG0003328		Bo_m.190486, Bo_m.190498, Bo_m.190509
OG0003329		Bo_m.261458, Bo_m.261462, Bo_m.261466
OG0003330	Znev_18486	Bo_m.270011
OG0003331	Znev_15583	Bo_m.90825
OG0003332	Znev_08478	Bo_m.375348
OG0003333	Znev_08479	Bo_m.315859
OG0003334	Znev_08481	Bo_m.30084
OG0003335	Znev_08483	Bo_m.296144
OG0003336	Znev_08485	Bo_m.367873
OG0003337	Znev_08487	Bo_m.208169
OG0003338	Znev_08488	Bo_m.208173
OG0003339	Znev_08489	Bo_m.33263
OG0003340	Znev_08490	Bo_m.370427
OG0003341	Znev_08491	Bo_m.260367
OG0003342	Znev_08493	Bo_m.52042
OG0003343	Znev_08496	Bo_m.271401
OG0003344	Znev_08497	Bo_m.196551
OG0003345	Znev_08498	Bo_m.258600
OG0003346	Znev_18614	Bo_m.83044
OG0003347	Znev_13870	Bo_m.303477
OG0003348	Znev_13873	Bo_m.346008
OG0003349	Znev_13874	Bo_m.117250
OG0003350	Znev_12094	Bo_m.93239
OG0003351	Znev_12095	Bo_m.330379
OG0003352	Znev_12096	Bo_m.58974
OG0003353	Znev_12099	Bo_m.248198
OG0003354	Znev_12100	Bo_m.301522
OG0003355	Znev_12101	Bo_m.350520
OG0003356	Znev_12102	Bo_m.350530
OG0003357	Znev_12103	Bo_m.188101
OG0003358	Znev_12105	Bo_m.382423
OG0003359	Znev_12108	Bo_m.273255
OG0003360	Znev_06135	Bo_m.349317
OG0003361	Znev_06138	Bo_m.318875
OG0003362	Znev_06139	Bo_m.214944
OG0003363	Znev_06140	Bo_m.98065
OG0003364	Znev_06141	Bo_m.267396
OG0003365	Znev_06143	Bo_m.352234
OG0003366	Znev_06147	Bo_m.177563
OG0003367	Znev_06148	Bo_m.295788
OG0003368	Znev_06151	Bo_m.211725
OG0003369	Znev_06152	Bo_m.231798
OG0003370	Znev_06155	Bo_m.107711
OG0003371	Znev_06158	Bo_m.233036
OG0003372	Znev_06159	Bo_m.377495
OG0003373	Znev_06160	Bo_m.265412
OG0003374	Znev_06164	Bo_m.337841
OG0003375	Znev_06165	Bo_m.228068
OG0003376	Znev_06166	Bo_m.226511
OG0003377	Znev_06167	Bo_m.128500
OG0003378	Znev_18106	Bo_m.166117
OG0003379	Znev_18107	Bo_m.30044
OG0003380	Znev_18108	Bo_m.268103
OG0003381	Znev_11823	Bo_m.75783
OG0003382	Znev_11833	Bo_m.287195
OG0003383	Znev_17223	Bo_m.157081
OG0003384	Znev_09930	Bo_m.235962
OG0003385	Znev_09931	Bo_m.8443
OG0003386	Znev_09941	Bo_m.366556
OG0003387	Znev_09942	Bo_m.342542
OG0003388	Znev_09943	Bo_m.95026
OG0003389	Znev_09944	Bo_m.57147
OG0003390	Znev_09945	Bo_m.52561
OG0003391	Znev_09946	Bo_m.350684
OG0003392	Znev_09951	Bo_m.307012
OG0003393	Znev_18697	Bo_m.378827
OG0003394	Znev_02190	Bo_m.232541
OG0003395	Znev_02191	Bo_m.312702
OG0003396	Znev_02194	Bo_m.160666
OG0003397	Znev_02199	Bo_m.37184
OG0003398	Znev_02206	Bo_m.315405
OG0003399	Znev_02208	Bo_m.129885
OG0003400	Znev_02209	Bo_m.183818
OG0003401	Znev_02210	Bo_m.105727
OG0003402	Znev_02212	Bo_m.91336
OG0003403	Znev_02213	Bo_m.375785
OG0003404	Znev_02214	Bo_m.333700
OG0003405	Znev_02215	Bo_m.322956
OG0003406	Znev_02222	Bo_m.38120
OG0003407	Znev_02230	Bo_m.37413
OG0003408	Znev_02232	Bo_m.68744
OG0003409	Znev_02233	Bo_m.192876
OG0003410	Znev_02241	Bo_m.46836
OG0003411	Znev_02242	Bo_m.75020
OG0003412	Znev_02244	Bo_m.298838
OG0003413	Znev_02245	Bo_m.347324
OG0003414	Znev_02246	Bo_m.347327
OG0003415	Znev_02250	Bo_m.96184
OG0003416	Znev_17460	Bo_m.120486
OG0003417	Znev_18801	Bo_m.162939
OG0003418	Znev_08423	Bo_m.282844
OG0003419	Znev_08425	Bo_m.136384
OG0003420	Znev_08427	Bo_m.281501
OG0003421	Znev_08428	Bo_m.332411
OG0003422	Znev_08429	Bo_m.214669
OG0003423	Znev_08432	Bo_m.286641
OG0003424	Znev_08434	Bo_m.263828
OG0003425	Znev_08435	Bo_m.31932
OG0003426	Znev_08436	Bo_m.192986
OG0003427	Znev_08437	Bo_m.30865
OG0003428	Znev_08438	Bo_m.245780
OG0003429	Znev_08440	Bo_m.318542
OG0003430	Znev_08441	Bo_m.244850
OG0003431	Znev_08442	Bo_m.244369
OG0003432	Znev_08445	Bo_m.296630
OG0003433	Znev_17823	Bo_m.282842
OG0003434	Znev_17824	Bo_m.295739
OG0003435	Znev_15926	Bo_m.245586
OG0003436	Znev_18568	Bo_m.381192
OG0003437	Znev_05027	Bo_m.226011
OG0003438	Znev_05028	Bo_m.63660
OG0003439	Znev_05029	Bo_m.32987
OG0003440	Znev_05036	Bo_m.307465
OG0003441	Znev_05039	Bo_m.274295
OG0003442	Znev_05040	Bo_m.161673
OG0003443	Znev_05041	Bo_m.305187
OG0003444	Znev_05042	Bo_m.231938
OG0003445	Znev_05043	Bo_m.169052
OG0003446	Znev_05050	Bo_m.301542
OG0003447	Znev_05053	Bo_m.168089
OG0003448	Znev_05054	Bo_m.168092
OG0003449	Znev_05055	Bo_m.168084
OG0003450	Znev_05060	Bo_m.122612
OG0003451	Znev_05061	Bo_m.29072
OG0003452	Znev_05062	Bo_m.136867
OG0003453	Znev_05063	Bo_m.318833
OG0003454	Znev_18163	Bo_m.288971
OG0003455	Znev_13366	Bo_m.111246
OG0003456	Znev_13367	Bo_m.185643
OG0003457	Znev_13368	Bo_m.325238
OG0003458	Znev_13369	Bo_m.363186
OG0003459	Znev_13371	Bo_m.232406
OG0003460	Znev_13372	Bo_m.217718
OG0003461	Znev_06065	Bo_m.157379
OG0003462	Znev_06067	Bo_m.123049
OG0003463	Znev_06068	Bo_m.79753
OG0003464	Znev_06071	Bo_m.231547
OG0003465	Znev_06080	Bo_m.130565
OG0003466	Znev_06086	Bo_m.357499
OG0003467	Znev_06087	Bo_m.155883
OG0003468	Znev_06088	Bo_m.368318
OG0003469	Znev_06089	Bo_m.147865
OG0003470	Znev_06090	Bo_m.377269
OG0003471	Znev_06092	Bo_m.320193
OG0003472	Znev_06095	Bo_m.168487
OG0003473	Znev_06098	Bo_m.289158
OG0003474	Znev_17110	Bo_m.123135
OG0003475	Znev_17112	Bo_m.223553
OG0003476	Znev_01886	Bo_m.88554
OG0003477	Znev_01888	Bo_m.77613
OG0003478	Znev_01891	Bo_m.204165
OG0003479	Znev_01892	Bo_m.77617
OG0003480	Znev_01893	Bo_m.252091
OG0003481	Znev_01896	Bo_m.278300
OG0003482	Znev_01898	Bo_m.83212
OG0003483	Znev_01899	Bo_m.265316
OG0003484	Znev_01905	Bo_m.269047
OG0003485	Znev_01906	Bo_m.380183
OG0003486	Znev_01911	Bo_m.314768
OG0003487	Znev_01913	Bo_m.143783
OG0003488	Znev_01914	Bo_m.289522
OG0003489	Znev_01915	Bo_m.192203
OG0003490	Znev_01916	Bo_m.192193
OG0003491	Znev_01918	Bo_m.379292
OG0003492	Znev_01919	Bo_m.229300
OG0003493	Znev_01925	Bo_m.90348
OG0003494	Znev_01926	Bo_m.258243
OG0003495	Znev_01928	Bo_m.5206
OG0003496	Znev_01934	Bo_m.54690
OG0003497	Znev_01936	Bo_m.378727
OG0003498	Znev_01938	Bo_m.301120
OG0003499	Znev_01939	Bo_m.301118
OG0003500	Znev_01941	Bo_m.82234
OG0003501	Znev_01942	Bo_m.82228
OG0003502	Znev_01943	Bo_m.282463
OG0003503	Znev_17147	Bo_m.58232
OG0003504	Znev_17150	Bo_m.314763
OG0003505	Znev_04185	Bo_m.205615
OG0003506	Znev_04187	Bo_m.42923
OG0003507	Znev_04188	Bo_m.86616
OG0003508	Znev_04189	Bo_m.214194
OG0003509	Znev_04191	Bo_m.148489
OG0003510	Znev_04192	Bo_m.83241
OG0003511	Znev_04193	Bo_m.75739
OG0003512	Znev_04195	Bo_m.43780
OG0003513	Znev_04196	Bo_m.328074
OG0003514	Znev_04198	Bo_m.126760
OG0003515	Znev_04201	Bo_m.80890
OG0003516	Znev_04205	Bo_m.87005
OG0003517	Znev_04208	Bo_m.223788
OG0003518	Znev_04209	Bo_m.301874
OG0003519	Znev_04210	Bo_m.37154
OG0003520	Znev_04213	Bo_m.358711
OG0003521	Znev_04214	Bo_m.137959
OG0003522	Znev_04216	Bo_m.60195
OG0003523	Znev_04220	Bo_m.34101
OG0003524	Znev_04223	Bo_m.377457
OG0003525	Znev_04226	Bo_m.269669
OG0003526	Znev_04227	Bo_m.224034
OG0003527	Znev_18447	Bo_m.275391
OG0003528	Znev_03545	Bo_m.196841
OG0003529	Znev_03546	Bo_m.175605
OG0003530	Znev_03548	Bo_m.330276
OG0003531	Znev_03549	Bo_m.380002
OG0003532	Znev_03551	Bo_m.364307
OG0003533	Znev_03554	Bo_m.34310
OG0003534	Znev_03556	Bo_m.317676
OG0003535	Znev_03558	Bo_m.47032
OG0003536	Znev_03563	Bo_m.194054
OG0003537	Znev_03565	Bo_m.200915
OG0003538	Znev_03569	Bo_m.197559
OG0003539	Znev_03572	Bo_m.324699
OG0003540	Znev_03576	Bo_m.192419
OG0003541	Znev_03577	Bo_m.162502
OG0003542	Znev_03579	Bo_m.256575
OG0003543	Znev_03582	Bo_m.80218
OG0003544	Znev_03583	Bo_m.214121
OG0003545	Znev_03595	Bo_m.262549
OG0003546	Znev_16868	Bo_m.144186
OG0003547	Znev_16869	Bo_m.348670
OG0003548	Znev_16872	Bo_m.373855
OG0003549	Znev_04509	Bo_m.376468
OG0003550	Znev_04510	Bo_m.160688
OG0003551	Znev_04512	Bo_m.310285
OG0003552	Znev_04517	Bo_m.111628
OG0003553	Znev_04518	Bo_m.175215
OG0003554	Znev_04519	Bo_m.332687
OG0003555	Znev_04520	Bo_m.332697
OG0003556	Znev_04522	Bo_m.255498
OG0003557	Znev_04523	Bo_m.78811
OG0003558	Znev_04524	Bo_m.232552
OG0003559	Znev_04525	Bo_m.178952
OG0003560	Znev_04526	Bo_m.184258
OG0003561	Znev_04527	Bo_m.82141
OG0003562	Znev_04535	Bo_m.129820
OG0003563	Znev_04537	Bo_m.17158
OG0003564	Znev_04541	Bo_m.204567
OG0003565	Znev_04546	Bo_m.365601
OG0003566	Znev_04547	Bo_m.48029
OG0003567	Znev_04548	Bo_m.274970
OG0003568	Znev_04549	Bo_m.274332
OG0003569	Znev_04551	Bo_m.31591
OG0003570	Znev_18139	Bo_m.26221
OG0003571	Znev_18140	Bo_m.364615
OG0003572	Znev_11692	Bo_m.86285
OG0003573	Znev_14203	Bo_m.116415
OG0003574	Znev_14204	Bo_m.295873
OG0003575	Znev_14205	Bo_m.259974
OG0003576	Znev_14206	Bo_m.263977
OG0003577	Znev_14946	Bo_m.333968
OG0003578	Znev_02494	Bo_m.41188
OG0003579	Znev_02496	Bo_m.204494
OG0003580	Znev_02497	Bo_m.61280
OG0003581	Znev_02501	Bo_m.69639
OG0003582	Znev_02502	Bo_m.227072
OG0003583	Znev_02504	Bo_m.86522
OG0003584	Znev_02520	Bo_m.323804
OG0003585	Znev_02535	Bo_m.196794
OG0003586	Znev_02536	Bo_m.263589
OG0003587	Znev_02537	Bo_m.249327
OG0003588	Znev_02538	Bo_m.291639
OG0003589	Znev_02540	Bo_m.159352
OG0003590	Znev_02543	Bo_m.66412
OG0003591	Znev_16622	Bo_m.117040
OG0003592	Znev_10173	Bo_m.128662
OG0003593	Znev_10176	Bo_m.341544
OG0003594	Znev_10177	Bo_m.283895
OG0003595	Znev_10178	Bo_m.355481
OG0003596	Znev_10180	Bo_m.226945
OG0003597	Znev_10183	Bo_m.82597
OG0003598	Znev_10184	Bo_m.342529
OG0003599	Znev_10186	Bo_m.256556
OG0003600	Znev_10187	Bo_m.47696
OG0003601	Znev_10190	Bo_m.261555
OG0003602	Znev_10191	Bo_m.83691
OG0003603	Znev_09548	Bo_m.305451
OG0003604	Znev_09556	Bo_m.185649
OG0003605	Znev_09558	Bo_m.263852
OG0003606	Znev_09559	Bo_m.375059
OG0003607	Znev_09560	Bo_m.265145
OG0003608	Znev_09562	Bo_m.330498
OG0003609	Znev_09563	Bo_m.318303
OG0003610	Znev_09565	Bo_m.66934
OG0003611	Znev_17185	Bo_m.29332
OG0003612	Znev_15853	Bo_m.268025
OG0003613	Znev_05848	Bo_m.194790
OG0003614	Znev_05849	Bo_m.144649
OG0003615	Znev_05856	Bo_m.376024
OG0003616	Znev_05858	Bo_m.376027
OG0003617	Znev_05859	Bo_m.49139
OG0003618	Znev_16691	Bo_m.56981
OG0003619	Znev_07481	Bo_m.354795
OG0003620	Znev_07484	Bo_m.98024
OG0003621	Znev_07487	Bo_m.82266
OG0003622	Znev_07488	Bo_m.292239
OG0003623	Znev_07492	Bo_m.93196
OG0003624	Znev_07494	Bo_m.369368
OG0003625	Znev_07495	Bo_m.200399
OG0003626	Znev_07496	Bo_m.200401
OG0003627	Znev_07497	Bo_m.289000
OG0003628	Znev_07498	Bo_m.147593
OG0003629	Znev_07499	Bo_m.374406
OG0003630	Znev_07504	Bo_m.324377
OG0003631	Znev_07505	Bo_m.109507
OG0003632	Znev_07507	Bo_m.211711
OG0003633	Znev_07511	Bo_m.257765
OG0003634	Znev_17579	Bo_m.60062
OG0003635	Znev_17581	Bo_m.262148
OG0003636	Znev_15100	Bo_m.18723
OG0003637	Znev_07456	Bo_m.347304
OG0003638	Znev_07460	Bo_m.115355
OG0003639	Znev_07465	Bo_m.47246
OG0003640	Znev_07466	Bo_m.78047
OG0003641	Znev_07467	Bo_m.375315
OG0003642	Znev_07470	Bo_m.47537
OG0003643	Znev_07474	Bo_m.144407
OG0003644	Znev_07475	Bo_m.145812
OG0003645	Znev_17241	Bo_m.188963
OG0003646	Znev_17242	Bo_m.34995
OG0003647	Znev_14194	Bo_m.283330
OG0003648	Znev_14196	Bo_m.22006
OG0003649	Znev_14198	Bo_m.256938
OG0003650	Znev_14199	Bo_m.330155
OG0003651	Znev_02616	Bo_m.285452
OG0003652	Znev_02617	Bo_m.142526
OG0003653	Znev_02624	Bo_m.365028
OG0003654	Znev_02629	Bo_m.276719
OG0003655	Znev_02632	Bo_m.37037
OG0003656	Znev_02635	Bo_m.66659
OG0003657	Znev_02636	Bo_m.130542
OG0003658	Znev_02637	Bo_m.130491
OG0003659	Znev_02638	Bo_m.316774
OG0003660	Znev_02644	Bo_m.14525
OG0003661	Znev_02645	Bo_m.184883
OG0003662	Znev_02646	Bo_m.226547
OG0003663	Znev_02647	Bo_m.230192
OG0003664	Znev_02648	Bo_m.230189
OG0003665	Znev_02649	Bo_m.205249
OG0003666	Znev_02650	Bo_m.374795
OG0003667	Znev_02651	Bo_m.210522
OG0003668	Znev_02652	Bo_m.258592
OG0003669	Znev_02655	Bo_m.308123
OG0003670	Znev_02656	Bo_m.350595
OG0003671	Znev_02657	Bo_m.376901
OG0003672	Znev_02658	Bo_m.380714
OG0003673	Znev_02664	Bo_m.71954
OG0003674	Znev_02665	Bo_m.31476
OG0003675	Znev_14025	Bo_m.196154
OG0003676	Znev_14028	Bo_m.109159
OG0003677	Znev_14030	Bo_m.346203
OG0003678	Znev_14031	Bo_m.1686
OG0003679	Znev_04229	Bo_m.378802
OG0003680	Znev_04231	Bo_m.128731
OG0003681	Znev_04233	Bo_m.346308
OG0003682	Znev_04236	Bo_m.351229
OG0003683	Znev_04239	Bo_m.85057
OG0003684	Znev_04241	Bo_m.301666
OG0003685	Znev_04243	Bo_m.351534
OG0003686	Znev_04244	Bo_m.161698
OG0003687	Znev_04246	Bo_m.331340
OG0003688	Znev_04249	Bo_m.52976
OG0003689	Znev_04255	Bo_m.247028
OG0003690	Znev_04258	Bo_m.366688
OG0003691	Znev_04261	Bo_m.193302
OG0003692	Znev_04265	Bo_m.84215
OG0003693	Znev_04273	Bo_m.130893
OG0003694	Znev_04274	Bo_m.314475
OG0003695	Znev_04275	Bo_m.358038
OG0003696	Znev_17076	Bo_m.343183
OG0003697	Znev_12525	Bo_m.238340
OG0003698	Znev_16445	Bo_m.165972
OG0003699	Znev_13629	Bo_m.80896
OG0003700	Znev_13630	Bo_m.186229
OG0003701	Znev_13637	Bo_m.148271
OG0003702	Znev_05068	Bo_m.68240
OG0003703	Znev_05073	Bo_m.238417
OG0003704	Znev_05082	Bo_m.140515
OG0003705	Znev_05083	Bo_m.185024
OG0003706	Znev_05090	Bo_m.268830
OG0003707	Znev_05094	Bo_m.248807
OG0003708	Znev_05096	Bo_m.352316
OG0003709	Znev_05098	Bo_m.192629
OG0003710	Znev_05099	Bo_m.116957
OG0003711	Znev_16536	Bo_m.361146
OG0003712	Znev_16544	Bo_m.364028
OG0003713	Znev_15441	Bo_m.304564
OG0003714	Znev_15442	Bo_m.291673
OG0003715	Znev_14128	Bo_m.124117
OG0003716	Znev_14130	Bo_m.21776
OG0003717	Znev_14131	Bo_m.41291
OG0003718	Znev_14135	Bo_m.178353
OG0003719	Znev_12844	Bo_m.218173
OG0003720	Znev_18461	Bo_m.256934
OG0003721	Znev_06564	Bo_m.372501
OG0003722	Znev_06565	Bo_m.382662
OG0003723	Znev_06567	Bo_m.352962
OG0003724	Znev_06572	Bo_m.300796
OG0003725	Znev_06573	Bo_m.145883
OG0003726	Znev_06575	Bo_m.255110
OG0003727	Znev_06576	Bo_m.164731
OG0003728	Znev_06585	Bo_m.240039
OG0003729	Znev_10385	Bo_m.302313
OG0003730	Znev_10397	Bo_m.110451
OG0003731	Znev_10400	Bo_m.246396
OG0003732	Znev_10401	Bo_m.113331
OG0003733	Znev_10402	Bo_m.307058
OG0003734	Znev_12382	Bo_m.132499
OG0003735	Znev_12383	Bo_m.179186
OG0003736	Znev_02431	Bo_m.275180
OG0003737	Znev_02433	Bo_m.351796
OG0003738	Znev_02435	Bo_m.57573
OG0003739	Znev_02436	Bo_m.108362
OG0003740	Znev_02437	Bo_m.79760
OG0003741	Znev_02438	Bo_m.336896
OG0003742	Znev_02439	Bo_m.180707
OG0003743	Znev_02440	Bo_m.208338
OG0003744	Znev_02442	Bo_m.251744
OG0003745	Znev_02443	Bo_m.352595
OG0003746	Znev_02446	Bo_m.204668
OG0003747	Znev_02452	Bo_m.366999
OG0003748	Znev_02453	Bo_m.153525
OG0003749	Znev_02457	Bo_m.343791
OG0003750	Znev_02458	Bo_m.107724
OG0003751	Znev_02459	Bo_m.288749
OG0003752	Znev_02460	Bo_m.99818
OG0003753	Znev_02463	Bo_m.363928
OG0003754	Znev_02472	Bo_m.83582
OG0003755	Znev_02473	Bo_m.92263
OG0003756	Znev_02474	Bo_m.94572
OG0003757	Znev_02478	Bo_m.33059
OG0003758	Znev_02482	Bo_m.355306
OG0003759	Znev_02489	Bo_m.210128
OG0003760	Znev_16728	Bo_m.94001
OG0003761	Znev_14703	Bo_m.138089
OG0003762	Znev_14707	Bo_m.303929
OG0003763	Znev_00542	Bo_m.382789
OG0003764	Znev_00545	Bo_m.104201
OG0003765	Znev_00547	Bo_m.107182
OG0003766	Znev_00548	Bo_m.115712
OG0003767	Znev_00554	Bo_m.262686
OG0003768	Znev_00558	Bo_m.134539
OG0003769	Znev_00559	Bo_m.88907
OG0003770	Znev_00561	Bo_m.322579
OG0003771	Znev_00566	Bo_m.334955
OG0003772	Znev_00568	Bo_m.78504
OG0003773	Znev_00569	Bo_m.183585
OG0003774	Znev_00570	Bo_m.123544
OG0003775	Znev_00575	Bo_m.147840
OG0003776	Znev_00576	Bo_m.8079
OG0003777	Znev_00579	Bo_m.368321
OG0003778	Znev_00580	Bo_m.38227
OG0003779	Znev_00581	Bo_m.354766
OG0003780	Znev_00582	Bo_m.182850
OG0003781	Znev_00583	Bo_m.231675
OG0003782	Znev_00584	Bo_m.289536
OG0003783	Znev_00585	Bo_m.188072
OG0003784	Znev_00586	Bo_m.275840
OG0003785	Znev_00590	Bo_m.153069
OG0003786	Znev_00591	Bo_m.233008
OG0003787	Znev_00594	Bo_m.209577
OG0003788	Znev_00595	Bo_m.263774
OG0003789	Znev_00600	Bo_m.193424
OG0003790	Znev_00607	Bo_m.339628
OG0003791	Znev_00608	Bo_m.279931
OG0003792	Znev_00609	Bo_m.86428
OG0003793	Znev_00612	Bo_m.67588
OG0003794	Znev_00613	Bo_m.140308
OG0003795	Znev_00614	Bo_m.71524
OG0003796	Znev_00616	Bo_m.232921
OG0003797	Znev_00618	Bo_m.186585
OG0003798	Znev_00619	Bo_m.136358
OG0003799	Znev_00621	Bo_m.285726
OG0003800	Znev_00622	Bo_m.285713
OG0003801	Znev_00625	Bo_m.314601
OG0003802	Znev_00627	Bo_m.78599
OG0003803	Znev_00629	Bo_m.60264
OG0003804	Znev_16606	Bo_m.199251
OG0003805	Znev_16612	Bo_m.186595
OG0003806	Znev_16614	Bo_m.130768
OG0003807	Znev_05959	Bo_m.337693
OG0003808	Znev_05960	Bo_m.122178
OG0003809	Znev_05980	Bo_m.108520
OG0003810	Znev_00177	Bo_m.360574
OG0003811	Znev_00178	Bo_m.50843
OG0003812	Znev_00179	Bo_m.73575
OG0003813	Znev_00181	Bo_m.114553
OG0003814	Znev_00190	Bo_m.59524
OG0003815	Znev_00194	Bo_m.256070
OG0003816	Znev_00197	Bo_m.330009
OG0003817	Znev_00198	Bo_m.116882
OG0003818	Znev_00199	Bo_m.148929
OG0003819	Znev_00207	Bo_m.82532
OG0003820	Znev_00214	Bo_m.59766
OG0003821	Znev_00215	Bo_m.269223
OG0003822	Znev_00216	Bo_m.119999
OG0003823	Znev_00221	Bo_m.111522
OG0003824	Znev_00223	Bo_m.323114
OG0003825	Znev_00227	Bo_m.50690
OG0003826	Znev_00229	Bo_m.49639
OG0003827	Znev_00231	Bo_m.376907
OG0003828	Znev_00232	Bo_m.153816
OG0003829	Znev_00237	Bo_m.115651
OG0003830	Znev_00242	Bo_m.195897
OG0003831	Znev_00244	Bo_m.95920
OG0003832	Znev_00245	Bo_m.342549
OG0003833	Znev_00246	Bo_m.25675
OG0003834	Znev_00251	Bo_m.256563
OG0003835	Znev_00255	Bo_m.247879
OG0003836	Znev_00257	Bo_m.300860
OG0003837	Znev_00258	Bo_m.144767
OG0003838	Znev_00259	Bo_m.319905
OG0003839	Znev_00260	Bo_m.296103
OG0003840	Znev_00271	Bo_m.360944
OG0003841	Znev_00277	Bo_m.284483
OG0003842	Znev_00278	Bo_m.78715
OG0003843	Znev_00279	Bo_m.82509
OG0003844	Znev_00289	Bo_m.25817
OG0003845	Znev_00295	Bo_m.225598
OG0003846	Znev_00302	Bo_m.176987
OG0003847	Znev_00309	Bo_m.203180
