Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN206428_c4_g1_i3	CLIPs	Venom serine protease Bi-VSP-2	TRINITY_DN206428_c4_g1	5prime_partial	320	5.50E-65	6.20E-65	85	VSP_BOMIG	0.48276	1357-593	109-360	1.87E-72	360	Venom serine protease Bi-VSP	VSP_BOMIG	0.47122	48-319	94-360	5.12E-76	360	74.167	Venom serine protease Bi-VSP	PF00089.23	Trypsin	3.50E-54
TRINITY_DN210649_c2_g1_i1	CTLs	Collectin-12	TRINITY_DN210649_c2_g1	internal	150	0.0000048	0.0000048	91.333	COL12_RAT	0.26087	434-24	602-732	0.000000173	742	Collectin-12	COL12_RAT	0.26087	6-142	602-732	0.000000156	742	17.655	Collectin-12	PF00059.18	Lectin C-type domain	1.60E-14
TRINITY_DN210649_c5_g1_i2	CTLs	C-type lectin domain family 4 member E	TRINITY_DN210649_c5_g1	3prime_partial	253	1.30E-09	0.00048	53.36	MRC2_MOUSE	0.20588	1437-10	830-1344	1.93E-09	1479	C-type mannose receptor 2	CLC4E_HUMAN	0.28467	45-179	87-217	0.00000973	219	59.817	C-type lectin domain family 4 member E	PF00059.18	Lectin C-type domain	9.80E-12
TRINITY_DN213404_c0_g1_i1	CTLs	C-type lectin mannose-binding isoform	TRINITY_DN213404_c0_g1	complete	194	6.90E-14	8.10E-14	59.278	LECM_OXYSU	0.35043	864-520	46-156	1.34E-13	158	C-type lectin mannose-binding isoform	LECM_OXYSU	0.35043	78-192	46-156	7.77E-15	158	70.253	C-type lectin mannose-binding isoform	PF00059.18	Lectin C-type domain	3.10E-16
TRINITY_DN199675_c1_g1_i1	CTLs	C-type mannose receptor 2	TRINITY_DN199675_c1_g1	3prime_partial	975	1.30E-30	0.000049	64.923	MRC2_HUMAN	0.20136	143-2044	253-927	7.27E-09	1479	C-type mannose receptor 2	MRC2_HUMAN	0.20163	48-680	253-926	4.17E-09	1479	45.571	C-type mannose receptor 2	PF00059.18	Lectin C-type domain	4.50E-13
TRINITY_DN207865_c5_g1_i3	CTLs	Galactose-specific lectin nattectin	TRINITY_DN207865_c5_g1	complete	193	0.0000017	0.0000024	79.793	LECG_THANI	0.24667	2172-1726	12-159	3.33E-08	159	Galactose-specific lectin nattectin	LECG_THANI	0.24516	12-165	7-159	1.12E-10	159	96.226	Galactose-specific lectin nattectin	PF00059.18	Lectin C-type domain	0.000000016
TRINITY_DN137749_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-7	TRINITY_DN137749_c0_g1	5prime_partial	140	0.0000025	0.0000031	95.714	LPSBP_PERAM	0.48529	520-119	121-256	1.05E-39	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.48529	6-139	121-256	2.38E-40	256	53.125	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.30E-15
TRINITY_DN143323_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-8	TRINITY_DN143323_c0_g1	5prime_partial	117	0.00000066	0.00000078	98.291	LPSBP_PERAM	0.5	2-346	143-256	1.39E-33	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.5	1-115	143-256	2.03E-34	256	44.531	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.40E-12
TRINITY_DN167970_c3_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-9	TRINITY_DN167970_c3_g1	5prime_partial	140	0.0000017	0.0000025	95.714	LPSBP_PERAM	0.38971	16-417	122-256	5.44E-24	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.38971	6-139	122-256	1.95E-24	256	52.734	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.00E-12
TRINITY_DN183662_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-10	TRINITY_DN183662_c0_g1	complete	231	6.20E-10	0.000000001	85.281	LPSBP_PERAM	0.4186	152-742	44-256	8.06E-47	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.4186	33-229	44-256	8.50E-48	256	83.203	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.40E-17
TRINITY_DN186074_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-11	TRINITY_DN186074_c1_g1	5prime_partial	139	0.0000042	0.0000057	94.964	LPSBP_PERAM	0.41481	550-155	122-256	1.02E-33	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.41481	6-137	122-256	1.46E-34	256	52.734	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	5.40E-11
TRINITY_DN191904_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-12	TRINITY_DN191904_c1_g1	5prime_partial	172	0.000000015	0.000000019	79.07	LPSBP_PERAM	0.42754	106-513	121-256	6.15E-27	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.42754	36-171	121-256	1.78E-27	256	53.125	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	6.50E-16
TRINITY_DN192635_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-13	TRINITY_DN192635_c0_g1	complete	226	0.000000048	0.000000052	91.15	LPSBP_PERAM	0.39604	634-89	58-256	3.13E-29	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.39823	20-225	34-256	3.53E-48	256	87.109	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.20E-09
TRINITY_DN193512_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-14	TRINITY_DN193512_c0_g1	5prime_partial	189	0.000000082	0.00000011	99.471	LPSBP_PERAM	0.365	870-307	57-256	1.46E-35	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.365	1-188	57-256	6.39E-37	256	78.125	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.20E-10
TRINITY_DN199055_c0_g1_i3	CTLs	Hemolymph lipopolysaccharide-binding protein-15	TRINITY_DN199055_c0_g1	complete	244	2.60E-10	2.70E-10	98.361	LPSBP_PERAM	0.39184	1833-1114	15-256	5.74E-49	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.39184	4-243	15-256	5.80E-53	256	94.531	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	5.90E-12
TRINITY_DN200685_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-16	TRINITY_DN200685_c0_g1	complete	218	0.0000002	0.00000029	54.128	LPSBP_PERAM	0.384	929-576	129-253	1.45E-21	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.384	94-211	129-253	2.94E-23	256	48.828	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.10E-13
TRINITY_DN200789_c0_g1_i2	CTLs	Hemolymph lipopolysaccharide-binding protein-17	TRINITY_DN200789_c0_g1	5prime_partial	243	0.00000057	0.00000085	90.535	LPSBP_PERAM	0.40435	67-726	38-256	1.17E-45	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.40435	23-242	38-256	3.03E-46	256	85.547	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.00E-13
TRINITY_DN201843_c0_g1_i3	CTLs	Hemolymph lipopolysaccharide-binding protein-18	TRINITY_DN201843_c0_g1	complete	228	0.00000003	0.000000044	91.667	LPSBP_PERAM	0.35	1162-536	39-255	1.50E-32	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.35	18-226	39-255	1.16E-34	256	84.766	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.30E-13
TRINITY_DN203168_c1_g1_i2	CTLs	Hemolymph lipopolysaccharide-binding protein-19	TRINITY_DN203168_c1_g1	5prime_partial	241	0.000000043	0.000000049	99.585	LPSBP_PERAM	0.38983	1385-708	28-256	3.87E-46	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.38	1-240	14-256	1.06E-50	256	94.922	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.40E-10
TRINITY_DN203647_c0_g1_i2	CTLs	Hemolymph lipopolysaccharide-binding protein-20	TRINITY_DN203647_c0_g1	5prime_partial	201	0.00000011	0.00000014	93.035	LPSBP_PERAM	0.41538	42-602	62-256	7.04E-43	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.41538	14-200	62-256	7.26E-45	256	76.172	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	4.10E-16
TRINITY_DN203978_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-21	TRINITY_DN203978_c0_g1	complete	226	0.000000097	0.00000017	86.283	LPSBP_PERAM	0.39151	757-173	48-256	2.25E-38	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.39151	31-225	48-256	4.40E-39	256	81.641	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	4.70E-11
TRINITY_DN204072_c2_g4_i2	CTLs	Hemolymph lipopolysaccharide-binding protein-22	TRINITY_DN204072_c2_g4	5prime_partial	181	0.00000029	0.00000034	93.37	LPSBP_PERAM	0.39429	793-287	87-256	2.47E-32	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.39429	12-180	87-256	1.36E-33	256	66.406	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.40E-09
TRINITY_DN204436_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-23	TRINITY_DN204436_c0_g1	complete	234	6.70E-09	9.90E-09	86.752	LPSBP_PERAM	0.36486	204-812	34-255	3.98E-37	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.36486	27-229	34-255	1.71E-40	256	86.719	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	4.00E-11
TRINITY_DN204569_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-24	TRINITY_DN204569_c0_g1	5prime_partial	367	0.000002	0.0000025	36.785	LPSBP_PERAM	0.28676	662-258	122-255	4.12E-10	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.29412	232-366	122-255	9.09E-15	256	52.344	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.90E-10
TRINITY_DN204627_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-25	TRINITY_DN204627_c1_g1	5prime_partial	255	0.00000007	0.000000088	86.275	LPSBP_PERAM	0.41228	806-147	38-256	6.64E-51	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.41228	35-254	38-256	1.37E-51	256	85.547	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.60E-14
TRINITY_DN204859_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-26	TRINITY_DN204859_c1_g1	internal	163	0.0000085	0.000011	79.141	LPSBP_PERAM	0.46565	86-460	38-168	1.49E-32	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.45926	25-153	34-168	6.41E-33	256	52.734	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	0.00026
TRINITY_DN204859_c1_g2_i2	CTLs	Hemolymph lipopolysaccharide-binding protein-27	TRINITY_DN204859_c1_g2	5prime_partial	240	2.00E-11	3.60E-11	97.917	LPSBP_PERAM	0.39837	13-717	14-256	1.18E-43	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.42276	5-239	14-256	2.16E-52	256	94.922	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.90E-10
TRINITY_DN205179_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-28	TRINITY_DN205179_c0_g1	5prime_partial	260	0.0000027	0.0000039	98.077	LPSBP_PERAM	0.38498	1291-668	46-256	4.67E-43	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.34733	5-259	2-256	7.32E-48	256	99.609	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.20E-11
TRINITY_DN205615_c0_g2_i4	CTLs	Hemolymph lipopolysaccharide-binding protein-29	TRINITY_DN205615_c0_g2	complete	294	1.60E-14	0.00000015	47.279	LPSBP_PERAM	0.33333	822-406	123-256	7.05E-19	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.33333	155-293	123-256	6.15E-20	256	52.344	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	8.40E-12
TRINITY_DN206020_c8_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-30	TRINITY_DN206020_c8_g1	complete	230	0.0000089	0.0000092	97.826	LPSBP_PERAM	0.4	103-801	2-256	6.30E-57	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.40891	5-229	10-256	1.66E-60	256	96.484	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.90E-14
TRINITY_DN206615_c15_g1_i4	CTLs	Hemolymph lipopolysaccharide-binding protein-31	TRINITY_DN206615_c15_g1	complete	257	6.90E-10	7.10E-10	99.611	LPSBP_PERAM	0.89062	1352-585	1-256	1.15E-153	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.89062	1-256	1-256	2.94E-171	256	100	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	5.60E-21
TRINITY_DN207869_c4_g1_i3	CTLs	Hemolymph lipopolysaccharide-binding protein-32	TRINITY_DN207869_c4_g1	complete	235	0.00000043	0.000001	95.319	LPSBP_PERAM	0.36325	390-1061	27-253	8.47E-37	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.36325	8-231	27-253	3.23E-39	256	88.672	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.90E-12
TRINITY_DN207877_c7_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-33	TRINITY_DN207877_c7_g1	complete	233	5.10E-11	7.50E-11	99.142	LPSBP_PERAM	0.45755	145-741	47-256	4.60E-53	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.41667	2-232	7-256	1.36E-55	256	97.656	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	5.40E-15
TRINITY_DN208497_c3_g2_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-34	TRINITY_DN208497_c3_g2	complete	239	2.00E-10	2.20E-10	99.582	LPSBP_PERAM	0.48606	87-803	7-256	8.64E-71	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.484	1-238	8-256	2.26E-73	256	97.266	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.60E-17
TRINITY_DN208586_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-35	TRINITY_DN208586_c1_g1	complete	223	3.20E-11	3.30E-11	91.48	LPSBP_PERAM	0.45872	1438-827	38-254	6.88E-54	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.45872	19-222	38-254	1.07E-57	256	84.766	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	2.60E-14
TRINITY_DN208704_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-36	TRINITY_DN208704_c1_g1	complete	232	0.000000014	0.000000016	86.638	LPSBP_PERAM	0.41429	92-694	47-256	1.22E-45	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.42925	31-231	47-256	1.06E-52	256	82.031	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.00E-14
TRINITY_DN209415_c7_g1_i5	CTLs	Hemolymph lipopolysaccharide-binding protein-37	TRINITY_DN209415_c7_g1	complete	224	0.00000047	0.0000011	88.393	LPSBP_PERAM	0.32701	107-688	42-252	4.79E-28	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.36111	26-223	42-256	4.47E-37	256	83.984	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.90E-15
TRINITY_DN210009_c2_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-38	TRINITY_DN210009_c2_g1	complete	227	2.00E-12	2.30E-12	89.427	LPSBP_PERAM	0.43891	111-719	38-253	1.95E-49	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.43891	23-225	38-253	9.06E-51	256	84.375	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.10E-16
TRINITY_DN210940_c11_g1_i3	CTLs	Hemolymph lipopolysaccharide-binding protein-39	TRINITY_DN210940_c11_g1	complete	167	0.00000015	0.00000019	76.048	LPSBP_PERAM	0.36296	119-499	122-256	2.91E-19	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.36296	25-151	122-256	4.66E-22	256	52.734	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.10E-13
TRINITY_DN211010_c3_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-40	TRINITY_DN211010_c3_g1	5prime_partial	152	0.00000063	0.00000086	92.105	LPSBP_PERAM	0.36111	771-352	113-256	5.22E-24	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.36111	11-150	113-256	2.02E-25	256	56.25	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.40E-11
TRINITY_DN212295_c3_g1_i3	CTLs	Hemolymph lipopolysaccharide-binding protein-41	TRINITY_DN212295_c3_g1	complete	232	2.40E-10	3.20E-10	85.776	LPSBP_PERAM	0.35981	1367-771	45-255	5.11E-38	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.35849	29-227	45-255	6.24E-41	256	82.422	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.10E-15
TRINITY_DN212999_c2_g3_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-42	TRINITY_DN212999_c2_g3	complete	236	3.30E-10	4.60E-10	97.034	LPSBP_PERAM	0.38075	1258-572	19-256	2.60E-48	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.38075	7-235	19-256	6.21E-51	256	92.969	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.20E-14
TRINITY_DN213121_c0_g3_i5	CTLs	Hemolymph lipopolysaccharide-binding protein-43	TRINITY_DN213121_c0_g3	5prime_partial	317	4.60E-10	0.00051	43.218	LPSBP_PERAM	0.36986	125-535	119-256	1.28E-17	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.36986	42-178	119-256	1.91E-18	256	53.906	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	5.70E-12
TRINITY_DN213148_c7_g1_i2	CTLs	Hemolymph lipopolysaccharide-binding protein-44	TRINITY_DN213148_c7_g1	5prime_partial	243	0.000000023	0.00000003	95.062	LPSBP_PERAM	0.39754	34-726	14-256	8.17E-50	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.39754	12-242	14-256	8.54E-51	256	94.922	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.00E-12
TRINITY_DN214096_c6_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-45	TRINITY_DN214096_c6_g1	5prime_partial	135	0.000000039	0.000000051	96.296	LPSBP_PERAM	0.39716	550-161	120-255	2.34E-23	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.39716	4-133	120-255	3.87E-24	256	53.125	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	6.20E-13
TRINITY_DN277272_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-46	TRINITY_DN277272_c0_g1	5prime_partial	242	0.000000005	5.60E-09	84.711	LPSBP_PERAM	0.41364	110-724	38-256	3.41E-47	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.41364	37-241	38-256	1.30E-47	256	85.547	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.70E-13
TRINITY_DN209100_c1_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-1	TRINITY_DN209100_c1_g1	complete	238	1.20E-10	1.90E-10	96.218	LPSBP_PERAM	0.488	1986-1300	12-256	9.94E-73	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.488	8-236	12-256	2.70E-78	256	95.703	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	4.20E-16
TRINITY_DN207716_c2_g2_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-2	TRINITY_DN207716_c2_g2	complete	240	4.60E-09	5.60E-09	88.75	LPSBP_PERAM	0.44493	218-865	34-256	8.63E-60	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.44643	24-236	34-253	5.83E-64	256	85.938	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	3.00E-14
TRINITY_DN212540_c0_g1_i6	CTLs	Hemolymph lipopolysaccharide-binding protein-3	TRINITY_DN212540_c0_g1	5prime_partial	317	0.00000037	0.00000062	66.562	LPSBP_PERAM	0.32719	309-941	47-253	6.66E-39	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.32719	103-313	47-253	1.13E-41	256	80.859	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.80E-11
TRINITY_DN205710_c2_g3_i3	CTLs	Hemolymph lipopolysaccharide-binding protein-4	TRINITY_DN205710_c2_g3	complete	178	0.0000072	0.0000088	78.09	LPSBP_PERAM	0.33333	266-682	114-255	1.71E-18	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.33333	38-176	114-255	1.98E-20	256	55.469	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.00E-11
TRINITY_DN202299_c0_g2_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-5	TRINITY_DN202299_c0_g2	complete	233	0.000000067	0.000000097	84.549	LPSBP_PERAM	0.32547	1031-441	46-255	6.16E-29	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.32547	35-231	46-255	1.30E-30	256	82.031	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	1.20E-11
TRINITY_DN190586_c0_g1_i1	CTLs	Hemolymph lipopolysaccharide-binding protein-6	TRINITY_DN190586_c0_g1	complete	184	1.70E-09	1.90E-09	70.652	LPSBP_PERAM	0.37956	359-748	119-255	4.65E-27	256	Hemolymph lipopolysaccharide-binding protein	LPSBP_PERAM	0.37956	46-175	119-255	1.32E-28	256	53.516	Hemolymph lipopolysaccharide-binding protein	PF00059.18	Lectin C-type domain	5.80E-14
TRINITY_DN200869_c3_g1_i1	CTLs	L-selectin	TRINITY_DN200869_c3_g1	5prime_partial	244	8.90E-10	1.40E-09	59.426	LYAM1_RAT	0.24828	582-148	42-155	0.000326	372	L-selectin	LYAM1_RAT	0.24828	80-224	42-155	0.000286	372	30.645	L-selectin	PF00059.18	Lectin C-type domain	0.0000047
TRINITY_DN201319_c0_g1_i1	CTLs	Snaclec agglucetin subunit alpha-1	TRINITY_DN201319_c0_g1	internal	166	0.0000018	0.000002	69.277	SLA1_DEIAC	0.275	152-496	39-150	0.0000166	154	Snaclec agglucetin subunit alpha-1	SLA1_DEIAC	0.275	51-165	39-150	0.00000957	154	72.727	Snaclec agglucetin subunit alpha-1	PF00059.18	Lectin C-type domain	7.20E-13
TRINITY_DN210649_c10_g1_i1	CTLs	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	TRINITY_DN210649_c10_g1	5prime_partial	1703	2.00E-23	0.000016	14.504	SVEP1_HUMAN	0.28214	3716-4456	80-345	4.37E-13	3571	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	SVEP1_HUMAN	0.27857	1239-1485	80-345	2.73E-13	3571	7.449	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	PF00092.25	von Willebrand factor type A domain	3.50E-23
TRINITY_DN199108_c0_g1_i1	DEFs	Defensin	TRINITY_DN199108_c0_g1	5prime_partial	92	7.80E-18	9.00E-18	51.087	DEFI_ORYRH	0.62	134-274	32-79	1.20E-10	79	Defensin	DEFI_ORYRH	0.62	45-91	32-79	4.18E-11	79	60.759	Defensin	PF01097.15	Arthropod defensin	2.90E-12
TRINITY_DN200357_c0_g1_i1	DEFs	Defensin-2	TRINITY_DN200357_c0_g1	complete	73	5.30E-20	5.40E-20	64.384	DEFI_ORYRH	0.66	362-222	32-79	1.21E-10	79	Defensin	DEFI_ORYRH	0.66	26-72	32-79	3.02E-12	79	60.759	Defensin	PF01097.15	Arthropod defensin	3.90E-12
TRINITY_DN138632_c0_g1_i1	DEFs	Holotricin-1	TRINITY_DN138632_c0_g1	5prime_partial	90	8.70E-17	1.00E-16	48.889	DEF1_HOLDI	0.63636	138-269	Feb-43	2.12E-10	43	Holotricin-1	DEF1_HOLDI	0.63636	46-89	Feb-43	2.16E-11	43	97.674	Holotricin-1	PF01097.15	Arthropod defensin	1.60E-09
TRINITY_DN203850_c0_g1_i2	destabilase	Lysozyme-3	TRINITY_DN203850_c0_g1	5prime_partial	154	1.60E-45	1.90E-45	81.818	LYS_CRAGI	0.32576	1612-1235	3-119	2.25E-09	137	Lysozyme	LYS_CRAGI	0.32576	8-133	3-119	9.69E-11	137	85.401	Lysozyme	PF05497.9	Destabilase	4.00E-35
TRINITY_DN210429_c5_g1_i4	destabilase	Lysozyme-4	TRINITY_DN210429_c5_g1	5prime_partial	167	3.00E-42	3.70E-42	79.042	LYS_CRAGI	0.33607	66-410	19-126	7.20E-09	137	Lysozyme	LYS_CRAGI	0.31655	5-136	4-126	1.30E-12	137	89.781	Lysozyme	PF05497.9	Destabilase	1.30E-33
TRINITY_DN187110_c0_g1_i1	destabilase	Lysozyme-7	TRINITY_DN187110_c0_g1	5prime_partial	162	8.60E-43	1.10E-42	77.778	LYS_MERLU	0.27344	860-489	10-117	0.00000242	122	Lysozyme {ECO:0000303|Ref.1}	LYS_MERLU	0.26923	36-161	8-117	0.000000399	122	90.164	Lysozyme {ECO:0000303|Ref.1}	PF05497.9	Destabilase	4.00E-36
TRINITY_DN199333_c0_g2_i1	destabilase	Lysozyme-8	TRINITY_DN199333_c0_g2	5prime_partial	168	2.90E-51	3.40E-51	69.643	LYS_MERLU	0.33058	930-580	4-112	7.07E-09	122	Lysozyme {ECO:0000303|Ref.1}	LYS_MERLU	0.33058	36-152	4-112	8.22E-10	122	89.344	Lysozyme {ECO:0000303|Ref.1}	PF05497.9	Destabilase	9.30E-40
